%This file containts data collection taken by Trevor Stephens and Nathan Kong
%Used left spindle of tool number 5 Lot M10110805 915 with a 0.10 Hz Sine wave was implemented with and amplitude of 30.00 degrees, and a reaction torque of 10.00 percent torque
%idxPulse_0=0
%idxPulse_1=0
%idxPulse_1b=0
%idxPulse_2=0
%idxPulse_2b=0
%idxPulse_3=0
%idxPulse_3b=0
%torque0AverageTorque=338.56
%torque2ZeroLoad=0.00
%Back-end Time [ms], Back-end CUI Encoder [counts], Back-end Futek Torque [counts], Measured Current [Amps], Front-end Maxon Encoder [counts], Front-end Futek Torque [counts], Front-end Command [amps?], Back-end Command [-1:1], Back-end Maxon [counts], Trajectory Target [counts?]
0.000,1364,412,0.0500,189,-220,0.1000,-0.0315,-5888,1365.33
0.001,1364,412,0.0420,189,-214,0.1000,-0.0315,-5888,1365.33
0.002,1364,412,0.0460,189,-224,0.1000,-0.0314,-5888,1365.33
0.003,1364,414,0.0460,189,-222,0.1000,-0.0314,-5888,1365.33
0.004,1364,412,0.0460,189,-220,0.1000,-0.0314,-5888,1365.33
0.005,1364,412,0.0420,189,-216,0.1000,-0.0314,-5888,1365.33
0.006,1364,414,0.0500,189,-220,0.1000,-0.0314,-5888,1365.33
0.007,1364,416,0.0420,189,-222,0.1000,-0.0314,-5888,1365.33
0.008,1364,412,0.0460,189,-214,0.1000,-0.0314,-5888,1365.33
0.009,1364,412,0.0490,189,-220,0.1000,-0.0314,-5888,1365.33
0.010,1364,412,0.0500,189,-218,0.1000,-0.0314,-5888,1365.32
0.011,1364,410,0.0420,189,-220,0.1000,-0.0314,-5888,1365.32
0.012,1364,408,0.0510,189,-214,0.1000,-0.0314,-5888,1365.32
0.013,1364,420,0.0490,189,-222,0.1000,-0.0314,-5888,1365.31
0.014,1364,412,0.0490,189,-224,0.1000,-0.0314,-5888,1365.31
0.015,1364,410,0.0440,189,-222,0.1000,-0.0314,-5888,1365.31
0.016,1364,414,0.0450,189,-226,0.1000,-0.0314,-5888,1365.30
0.017,1364,412,0.0410,189,-224,0.1000,-0.0314,-5888,1365.30
0.018,1364,410,0.0440,189,-224,0.1000,-0.0314,-5888,1365.30
0.019,1364,414,0.0440,189,-214,0.1000,-0.0314,-5888,1365.29
0.020,1364,410,0.0440,189,-224,0.1000,-0.0314,-5888,1365.29
0.021,1364,412,0.0470,189,-220,0.1000,-0.0314,-5888,1365.28
0.022,1364,412,0.0480,189,-220,0.1000,-0.0314,-5888,1365.27
0.023,1364,408,0.0630,189,-220,0.1000,-0.0314,-5888,1365.27
0.024,1364,416,0.0500,189,-222,0.1000,-0.0314,-5888,1365.26
0.025,1364,412,0.0490,189,-224,0.1000,-0.0315,-5888,1365.26
0.026,1364,416,0.0520,189,-222,0.1000,-0.0315,-5888,1365.25
0.027,1364,410,0.0500,189,-222,0.1000,-0.0315,-5888,1365.24
0.028,1364,412,0.0500,189,-218,0.1000,-0.0315,-5888,1365.24
0.029,1364,410,0.0490,189,-220,0.1000,-0.0315,-5888,1365.23
0.030,1364,410,0.0420,189,-218,0.1000,-0.0315,-5888,1365.22
0.031,1364,412,0.0470,189,-216,0.1000,-0.0315,-5888,1365.21
0.032,1364,414,0.0450,189,-218,0.1000,-0.0315,-5888,1365.20
0.033,1364,412,0.0400,189,-218,0.1000,-0.0315,-5888,1365.20
0.034,1364,412,0.0460,189,-216,0.1000,-0.0315,-5888,1365.19
0.035,1364,412,0.0490,189,-220,0.1000,-0.0315,-5888,1365.18
0.036,1364,410,0.0480,189,-218,0.1000,-0.0315,-5888,1365.17
0.037,1364,416,0.0500,189,-224,0.1000,-0.0315,-5888,1365.16
0.038,1364,414,0.0490,189,-214,0.1000,-0.0315,-5888,1365.15
0.039,1364,412,0.0460,189,-230,0.1000,-0.0315,-5888,1365.14
0.040,1364,412,0.0480,189,-216,0.1000,-0.0315,-5888,1365.13
0.041,1364,416,0.0430,189,-234,0.1000,-0.0315,-5888,1365.12
0.042,1364,412,0.0410,189,-224,0.1000,-0.0315,-5888,1365.11
0.043,1364,414,0.0440,189,-228,0.1000,-0.0315,-5887,1365.10
0.044,1364,410,0.0370,189,-220,0.1000,-0.0315,-5887,1365.08
0.045,1364,414,0.0440,189,-218,0.1000,-0.0316,-5887,1365.07
0.046,1364,416,0.0500,189,-216,0.1000,-0.0316,-5887,1365.06
0.047,1364,416,0.0440,189,-220,0.1000,-0.0316,-5887,1365.05
0.048,1364,414,0.0470,189,-218,0.1000,-0.0316,-5887,1365.04
0.049,1364,416,0.0530,189,-216,0.1000,-0.0316,-5887,1365.02
0.050,1364,422,0.0460,189,-214,0.1000,-0.0316,-5887,1365.01
0.051,1364,412,0.0450,189,-218,0.1000,-0.0316,-5887,1365.00
0.052,1364,410,0.0400,189,-218,0.1000,-0.0316,-5887,1364.98
0.053,1364,412,0.0430,189,-228,0.1000,-0.0316,-5887,1364.97
0.054,1364,410,0.0430,189,-218,0.1000,-0.0316,-5887,1364.96
0.055,1364,414,0.0450,189,-230,0.1000,-0.0316,-5887,1364.94
0.056,1364,416,0.0570,189,-222,0.1000,-0.0316,-5887,1364.93
0.057,1364,414,0.0490,189,-230,0.1000,-0.0317,-5887,1364.91
0.058,1364,414,0.0510,189,-228,0.1000,-0.0317,-5887,1364.90
0.059,1364,412,0.0370,189,-222,0.1000,-0.0317,-5887,1364.88
0.060,1364,418,0.0430,189,-248,0.1000,-0.0317,-5887,1364.86
0.061,1364,412,0.0390,189,-222,0.1000,-0.0317,-5887,1364.85
0.062,1364,420,0.0410,189,-226,0.1000,-0.0317,-5887,1364.83
0.063,1364,414,0.0440,189,-216,0.1000,-0.0317,-5887,1364.82
0.064,1364,418,0.0450,189,-220,0.1000,-0.0317,-5887,1364.80
0.065,1364,414,0.0470,189,-222,0.1000,-0.0317,-5887,1364.78
0.066,1364,414,0.0470,189,-226,0.1000,-0.0318,-5887,1364.76
0.067,1364,412,0.0480,189,-224,0.1000,-0.0318,-5887,1364.75
0.068,1364,410,0.0470,189,-222,0.1000,-0.0318,-5887,1364.73
0.069,1364,414,0.0440,189,-224,0.1000,-0.0318,-5887,1364.71
0.070,1364,412,0.0430,189,-220,0.1000,-0.0318,-5887,1364.69
0.071,1364,418,0.0430,189,-222,0.1000,-0.0318,-5887,1364.67
0.072,1364,418,0.0450,189,-218,0.1000,-0.0318,-5887,1364.65
