%This file containts data collection taken by Trevor Stephens and Nathan Kong
%Used left spindle of tool number 5 Lot M10110805 915 with a 0.20 Hz Sine wave was implemented with and amplitude of 30.00 degrees, and a reaction torque of 20.00 percent torque
%idxPulse_0=0
%idxPulse_1=-1138
%idxPulse_1b=-261
%idxPulse_2=-629
%idxPulse_2b=0
%idxPulse_3=19058
%idxPulse_3b=-1099
%torque0AverageTorque=338.56
%torque2ZeroLoad=0.00
%Back-end Time [ms], Back-end CUI Encoder [counts], Back-end Futek Torque [counts], Measured Current [Amps], Front-end Maxon Encoder [counts], Front-end Futek Torque [counts], Front-end Command [amps?], Back-end Command [-1:1], Back-end Maxon [counts], Trajectory Target [counts?]
0.000,1366,616,0.0550,196,-232,0.2000,-0.0390,-5906,1365.33
0.001,1366,610,0.0550,196,-422,0.2000,-0.0390,-5906,1365.33
0.002,1366,616,0.0550,196,-416,0.2000,-0.0390,-5906,1365.33
0.003,1366,616,0.0570,195,-438,0.2000,-0.0390,-5906,1365.33
0.004,1366,614,0.0560,194,-446,0.2000,-0.0390,-5906,1365.33
0.005,1366,614,0.0530,194,-516,0.2000,-0.0390,-5906,1365.33
0.006,1366,618,0.0470,193,-520,0.2000,-0.0390,-5906,1365.32
0.007,1366,616,0.0520,192,-584,0.2000,-0.0390,-5906,1365.31
0.008,1366,618,0.0580,192,-580,0.2000,-0.0390,-5906,1365.31
0.009,1366,616,0.0500,192,-626,0.2000,-0.0390,-5906,1365.30
0.010,1366,612,0.0570,192,-588,0.2000,-0.0390,-5906,1365.29
0.011,1366,614,0.0510,192,-606,0.2000,-0.0390,-5906,1365.28
0.012,1366,616,0.0520,193,-536,0.2000,-0.0390,-5906,1365.27
0.013,1366,616,0.0550,193,-530,0.2000,-0.0391,-5906,1365.26
0.014,1366,616,0.0590,194,-468,0.2000,-0.0391,-5906,1365.24
0.015,1366,614,0.0540,195,-452,0.2000,-0.0391,-5906,1365.23
0.016,1366,612,0.0430,195,-406,0.2000,-0.0391,-5906,1365.21
0.017,1366,602,0.0530,195,-408,0.2000,-0.0391,-5906,1365.20
0.018,1366,608,0.0540,195,-402,0.2000,-0.0391,-5906,1365.18
0.019,1366,610,0.0560,195,-416,0.2000,-0.0391,-5906,1365.16
0.020,1366,608,0.0610,195,-448,0.2000,-0.0392,-5906,1365.14
0.021,1366,606,0.0520,194,-488,0.2000,-0.0392,-5906,1365.12
0.022,1366,612,0.0530,193,-516,0.2000,-0.0392,-5906,1365.10
0.023,1366,610,0.0610,193,-566,0.2000,-0.0392,-5906,1365.07
0.024,1366,618,0.0590,192,-586,0.2000,-0.0392,-5906,1365.05
0.025,1366,614,0.0610,192,-612,0.2000,-0.0393,-5906,1365.02
0.026,1366,614,0.0620,192,-610,0.2000,-0.0393,-5906,1365.00
0.027,1366,614,0.0630,192,-604,0.2000,-0.0393,-5905,1364.97
0.028,1366,616,0.0570,193,-576,0.2000,-0.0393,-5904,1364.94
0.029,1366,620,0.0640,193,-540,0.2000,-0.0394,-5903,1364.91
0.030,1366,620,0.0690,194,-502,0.2000,-0.0394,-5902,1364.88
0.031,1366,622,0.0670,194,-460,0.2000,-0.0394,-5901,1364.85
0.032,1366,624,0.0670,195,-444,0.2000,-0.0394,-5900,1364.82
0.033,1366,622,0.0660,195,-410,0.2000,-0.0395,-5899,1364.78
