%This file containts data collection taken by Trevor Stephens and Nathan Kong
%Used left spindle of tool number 4 Lot N10150901 729 with a 0.30 Hz Sine wave was implemented with and amplitude of 30.00 degrees, and a reaction torque of 40.00 percent torque
%Yaw_rad=0.52
%Freq_Hz=0.30
%Torque_Pct=40.00
%idxPulse_0=0
%idxPulse_1=1634
%idxPulse_1b=0
%idxPulse_2=-1344
%idxPulse_2b=0
%idxPulse_3=-29426
%idxPulse_3b=1694
%torque0AverageTorque=334.13
%torque2ZeroLoad=0.00
%Back-end Time [ms], Back-end CUI Encoder [counts], Back-end Futek Torque [counts], Measured Current [Amps], Front-end Maxon Encoder [counts], Front-end Futek Torque [counts], Front-end Command [amps?], Back-end Command [-1:1], Back-end Maxon [counts], Trajectory Target [counts?]
0.000,2050,182,0.0370,-83,-160,0.4000,-0.0286,-18110,2048.00
0.001,2050,190,0.0350,-83,-762,0.4000,-0.0286,-18110,2048.00
0.002,2050,190,0.0410,-84,-712,0.4000,-0.0286,-18110,2048.00
0.003,2050,190,0.0340,-86,-828,0.4000,-0.0287,-18110,2048.00
0.004,2050,194,0.0480,-88,-838,0.4000,-0.0287,-18110,2047.99
0.005,2050,206,0.0380,-91,-1086,0.4000,-0.0287,-18110,2047.98
0.006,2050,214,0.0380,-93,-1094,0.4000,-0.0287,-18110,2047.97
0.007,2050,226,0.0360,-96,-1294,0.4000,-0.0287,-18110,2047.96
0.008,2050,236,0.0330,-97,-1266,0.4000,-0.0287,-18110,2047.94
0.009,2050,248,0.0320,-98,-1418,0.4000,-0.0287,-18110,2047.92
0.010,2050,250,0.0310,-98,-1340,0.4000,-0.0288,-18110,2047.90
0.011,2050,250,0.0330,-97,-1364,0.4000,-0.0288,-18110,2047.88
0.012,2050,248,0.0360,-95,-1212,0.4000,-0.0288,-18110,2047.85
0.013,2050,242,0.0320,-93,-1158,0.4000,-0.0288,-18110,2047.83
0.014,2050,236,0.0380,-91,-976,0.4000,-0.0289,-18110,2047.80
