%This file containts data collection taken by Trevor Stephens and Nathan Kong
%Used left spindle of tool number 4 Lot N10150901 729 with a 0.30 Hz Sine wave was implemented with and amplitude of 30.00 degrees, and a reaction torque of 60.00 percent torque
%Yaw_rad=-1.57
%Freq_Hz=0.30
%Torque_Pct=60.00
%idxPulse_0=0
%idxPulse_1=1632
%idxPulse_1b=0
%idxPulse_2=-1299
%idxPulse_2b=0
%idxPulse_3=-29157
%idxPulse_3b=1680
%torque0AverageTorque=335.94
%torque2ZeroLoad=0.00
%Back-end Time [ms], Back-end CUI Encoder [counts], Back-end Futek Torque [counts], Measured Current [Amps], Front-end Maxon Encoder [counts], Front-end Futek Torque [counts], Front-end Command [amps?], Back-end Command [-1:1], Back-end Maxon [counts], Trajectory Target [counts?]
0.000,-677,-514,-0.0430,1057,-257,0.6000,0.0142,29052,-682.67
0.001,-677,-518,-0.0450,1056,-1241,0.6000,0.0141,29052,-682.67
0.002,-677,-510,-0.0410,1055,-1117,0.6000,0.0141,29052,-682.67
0.003,-677,-482,-0.0460,1052,-1331,0.6000,0.0141,29052,-682.67
0.004,-677,-396,-0.0430,1048,-1225,0.6000,0.0141,29052,-682.68
0.005,-677,-202,-0.0560,1044,-1495,0.6000,0.0141,29052,-682.69
0.006,-677,-24,-0.0440,1040,-1439,0.6000,0.0141,29052,-682.70
0.007,-677,148,-0.0450,1035,-1583,0.6000,0.0140,29052,-682.71
0.008,-677,286,-0.0530,1030,-1597,0.6000,0.0140,29052,-682.73
0.009,-677,372,-0.0370,1025,-1709,0.6000,0.0140,29052,-682.74
0.010,-677,460,-0.0450,1021,-1779,0.6000,0.0140,29052,-682.77
0.011,-677,538,-0.0460,1018,-1901,0.6000,0.0139,29052,-682.79
0.012,-677,608,-0.0430,1016,-1971,0.6000,0.0139,29052,-682.81
0.013,-677,650,-0.0510,1015,-2047,0.6000,0.0139,29051,-682.84
0.014,-677,660,-0.0450,1014,-2069,0.6000,0.0138,29051,-682.87
