%This file containts data collection taken by Trevor Stephens and Nathan Kong
%Used left spindle of tool number 4 Lot N10150901 729 with a 0.30 Hz Sine wave was implemented with and amplitude of 30.00 degrees, and a reaction torque of 20.00 percent torque
%Yaw_rad=0.52
%Freq_Hz=0.30
%Torque_Pct=20.00
%idxPulse_0=0
%idxPulse_1=0
%idxPulse_1b=0
%idxPulse_2=0
%idxPulse_2b=0
%idxPulse_3=0
%idxPulse_3b=0
%torque0AverageTorque=336.08
%torque2ZeroLoad=0.00
%Back-end Time [ms], Back-end CUI Encoder [counts], Back-end Futek Torque [counts], Measured Current [Amps], Front-end Maxon Encoder [counts], Front-end Futek Torque [counts], Front-end Command [amps?], Back-end Command [-1:1], Back-end Maxon [counts], Trajectory Target [counts?]
0.000,2050,378,0.0480,-148,-124,0.2000,-0.0377,-19250,2048.00
0.001,2050,376,0.0490,-148,-330,0.2000,-0.0377,-19250,2048.00
0.002,2050,376,0.0550,-148,-302,0.2000,-0.0377,-19250,2048.00
0.003,2050,380,0.0530,-149,-340,0.2000,-0.0378,-19250,2048.00
0.004,2050,378,0.0520,-150,-338,0.2000,-0.0378,-19250,2047.99
0.005,2050,384,0.0540,-151,-418,0.2000,-0.0378,-19250,2047.98
0.006,2050,384,0.0630,-151,-412,0.2000,-0.0378,-19250,2047.97
0.007,2050,388,0.0520,-152,-498,0.2000,-0.0378,-19250,2047.96
0.008,2050,384,0.0500,-153,-504,0.2000,-0.0378,-19250,2047.94
0.009,2050,378,0.0400,-153,-560,0.2000,-0.0378,-19250,2047.92
0.010,2050,382,0.0600,-153,-538,0.2000,-0.0379,-19250,2047.90
0.011,2050,384,0.0560,-152,-536,0.2000,-0.0379,-19250,2047.88
0.012,2050,380,0.0500,-152,-468,0.2000,-0.0379,-19250,2047.85
0.013,2050,382,0.0540,-151,-448,0.2000,-0.0379,-19250,2047.83
0.014,2050,378,0.0490,-151,-392,0.2000,-0.0380,-19250,2047.80
0.015,2050,378,0.0560,-150,-362,0.2000,-0.0380,-19250,2047.76
0.016,2050,370,0.0570,-149,-322,0.2000,-0.0380,-19250,2047.73
0.017,2050,370,0.0480,-149,-318,0.2000,-0.0381,-19250,2047.69
0.018,2050,372,0.0540,-149,-306,0.2000,-0.0381,-19250,2047.65
0.019,2050,368,0.0480,-149,-312,0.2000,-0.0381,-19250,2047.61
0.020,2050,370,0.0540,-150,-340,0.2000,-0.0382,-19250,2047.56
0.021,2050,370,0.0550,-150,-364,0.2000,-0.0382,-19250,2047.52
0.022,2050,376,0.0490,-151,-410,0.2000,-0.0383,-19250,2047.47
0.023,2050,376,0.0570,-151,-446,0.2000,-0.0383,-19250,2047.41
0.024,2050,378,0.0510,-152,-484,0.2000,-0.0384,-19250,2047.36
0.025,2050,384,0.0510,-152,-516,0.2000,-0.0384,-19250,2047.30
0.026,2050,376,0.0490,-152,-532,0.2000,-0.0385,-19250,2047.24
0.027,2050,384,0.0500,-152,-538,0.2000,-0.0385,-19250,2047.18
0.028,2050,380,0.0560,-152,-510,0.2000,-0.0386,-19250,2047.12
0.029,2050,376,0.0590,-152,-476,0.2000,-0.0386,-19250,2047.05
