%This file containts data collection taken by Trevor Stephens and Nathan Kong
%Used right spindle of tool number 5 Lot M10110805 915 with a 0.20 Hz Sine wave was implemented with and amplitude of 30.00 degrees, and a reaction torque of 10.00 percent torque
%idxPulse_0=294
%idxPulse_1=0
%idxPulse_2=-446
%idxPulse_3=0
%torque0AverageTorque=222.01
%torque2ZeroLoad=0.00
%Back-end Time [ms], Back-end CUI Encoder [counts], Back-end Futek Torque [counts], Measured Current [Amps], Front-end Maxon Encoder [counts], Front-end Futek Torque [counts], Front-end Command [amps?], Back-end Command [-1:1], Back-end Maxon [counts], Trajectory Target [counts?]
0.000,0.00,66.00,0.013,836.00,271.00,0.10,-0.01,-1406.00,-0.00
0.001,0.00,84.00,0.132,836.00,267.00,0.10,-0.07,-1404.00,0.00
0.002,0.00,156.00,0.119,836.00,271.00,0.10,-0.06,-1398.00,-0.00
0.003,0.00,158.00,0.113,836.00,267.00,0.10,-0.05,-1388.00,-0.00
0.004,-1.00,152.00,0.093,836.00,269.00,0.10,-0.05,-1374.00,-0.00
0.005,-2.00,180.00,0.090,836.00,263.00,0.10,-0.04,-1357.00,-0.00
0.006,-3.00,194.00,0.065,836.00,263.00,0.10,-0.03,-1337.00,-0.00
0.007,-4.00,188.00,0.052,836.00,261.00,0.10,-0.03,-1317.00,-0.00
0.008,-5.00,166.00,0.044,836.00,259.00,0.10,-0.02,-1294.00,-0.00
0.009,-6.00,186.00,0.035,836.00,261.00,0.10,-0.02,-1270.00,-0.00
0.010,-8.00,184.00,0.023,836.00,261.00,0.10,-0.01,-1246.00,-0.00
0.011,-9.00,178.00,0.009,836.00,259.00,0.10,-0.01,-1222.00,-0.00
0.012,-10.00,178.00,0.011,836.00,265.00,0.10,-0.00,-1198.00,-0.00
0.013,-12.00,194.00,-0.004,836.00,265.00,0.10,0.00,-1174.00,-0.00
0.014,-13.00,194.00,0.000,836.00,259.00,0.10,0.00,-1151.00,-0.00
0.015,-14.00,190.00,0.003,836.00,269.00,0.10,0.01,-1129.00,-0.00
0.016,-16.00,190.00,-0.023,836.00,259.00,0.10,0.01,-1108.00,-0.00
0.017,-17.00,184.00,-0.032,836.00,261.00,0.10,0.01,-1089.00,-0.00
0.018,-18.00,180.00,-0.039,836.00,259.00,0.10,0.02,-1071.00,-0.00
0.019,-19.00,180.00,-0.041,836.00,267.00,0.10,0.02,-1056.00,-0.00
0.020,-20.00,184.00,-0.051,836.00,269.00,0.10,0.02,-1043.00,-0.00
0.021,-20.00,174.00,-0.052,836.00,271.00,0.10,0.02,-1033.00,-0.00
0.022,-21.00,176.00,-0.059,836.00,265.00,0.10,0.02,-1026.00,-0.00
0.023,-21.00,176.00,-0.050,836.00,269.00,0.10,0.02,-1020.00,-0.00
0.024,-21.00,166.00,-0.050,836.00,267.00,0.10,0.02,-1017.00,-0.00
0.025,-21.00,162.00,-0.044,836.00,271.00,0.10,0.02,-1017.00,-0.00
0.026,-21.00,146.00,-0.052,836.00,267.00,0.10,0.02,-1018.00,-0.00
0.027,-21.00,134.00,-0.048,836.00,267.00,0.10,0.02,-1021.00,-0.00
0.028,-21.00,104.00,-0.053,836.00,261.00,0.10,0.02,-1026.00,-0.00
0.029,-21.00,78.00,-0.045,836.00,279.00,0.10,0.02,-1033.00,-0.00
0.030,-21.00,42.00,-0.051,836.00,267.00,0.10,0.02,-1041.00,-0.00
0.031,-21.00,8.00,-0.052,836.00,269.00,0.10,0.02,-1049.00,-0.00
0.032,-21.00,-34.00,-0.052,836.00,259.00,0.10,0.02,-1060.00,-0.00
0.033,-21.00,-56.00,-0.048,836.00,269.00,0.10,0.02,-1072.00,-0.00
0.034,-20.00,-78.00,-0.048,836.00,263.00,0.10,0.02,-1085.00,-0.00
0.035,-20.00,-90.00,-0.040,836.00,265.00,0.10,0.02,-1099.00,-0.00
0.036,-20.00,-100.00,-0.046,836.00,263.00,0.10,0.02,-1115.00,-0.00
0.037,-19.00,-88.00,-0.036,836.00,267.00,0.10,0.02,-1131.00,-0.00
0.038,-19.00,-84.00,-0.031,836.00,261.00,0.10,0.02,-1149.00,-0.00
0.039,-19.00,-94.00,-0.040,836.00,267.00,0.10,0.02,-1167.00,-0.00
0.040,-19.00,-172.00,-0.035,836.00,265.00,0.10,0.02,-1186.00,-0.00
0.041,-19.00,-146.00,-0.041,836.00,267.00,0.10,0.02,-1205.00,-0.00
0.042,-18.00,-200.00,-0.040,836.00,261.00,0.10,0.02,-1225.00,-0.00
0.043,-17.00,-206.00,-0.042,836.00,263.00,0.10,0.02,-1246.00,-0.00
0.044,-16.00,-254.00,-0.033,836.00,265.00,0.10,0.01,-1267.00,-0.00
0.045,-15.00,-280.00,-0.027,836.00,271.00,0.10,0.01,-1288.00,-0.00
0.046,-15.00,-298.00,-0.026,836.00,263.00,0.10,0.01,-1310.00,-0.00
0.047,-14.00,-330.00,-0.027,836.00,267.00,0.10,0.01,-1330.00,-0.00
0.048,-13.00,-366.00,-0.019,836.00,273.00,0.10,0.01,-1351.00,-0.00
0.049,-12.00,-384.00,-0.018,836.00,271.00,0.10,0.01,-1372.00,-0.00
0.050,-12.00,-370.00,-0.018,836.00,271.00,0.10,0.01,-1391.00,-0.00
0.051,-11.00,-404.00,-0.010,836.00,269.00,0.10,0.01,-1410.00,-0.00
0.052,-10.00,-408.00,-0.008,836.00,267.00,0.10,0.00,-1428.00,-0.00
0.053,-10.00,-452.00,-0.006,836.00,271.00,0.10,0.00,-1445.00,-0.00
0.054,-9.00,-476.00,-0.013,836.00,273.00,0.10,0.00,-1461.00,-0.00
0.055,-8.00,-460.00,-0.008,836.00,273.00,0.10,0.00,-1476.00,-0.00
0.056,-8.00,-460.00,-0.002,836.00,273.00,0.10,0.00,-1490.00,-0.00
0.057,-7.00,-504.00,-0.003,836.00,265.00,0.10,0.00,-1502.00,-0.00
0.058,-7.00,-518.00,-0.008,836.00,271.00,0.10,-0.00,-1513.00,-0.00
0.059,-6.00,-512.00,-0.008,836.00,263.00,0.10,0.00,-1523.00,-0.00
0.060,-6.00,-528.00,-0.004,836.00,269.00,0.10,-0.00,-1532.00,-0.00
0.061,-5.00,-538.00,-0.009,836.00,269.00,0.10,-0.00,-1539.00,-0.00
0.062,-5.00,-540.00,-0.010,836.00,269.00,0.10,-0.00,-1544.00,-0.00
0.063,-5.00,-532.00,-0.003,836.00,265.00,0.10,-0.00,-1549.00,-0.00
0.064,-5.00,-542.00,0.000,836.00,271.00,0.10,-0.00,-1552.00,-0.00
0.065,-5.00,-550.00,-0.003,836.00,265.00,0.10,-0.00,-1553.00,-0.00
0.066,-5.00,-538.00,-0.010,836.00,271.00,0.10,-0.00,-1553.00,-0.00
0.067,-5.00,-534.00,-0.001,836.00,265.00,0.10,-0.00,-1553.00,-0.00
0.068,-5.00,-522.00,0.012,836.00,277.00,0.10,0.00,-1552.00,-0.00
0.069,-5.00,-518.00,-0.005,836.00,267.00,0.10,0.00,-1551.00,-0.00
0.070,-5.00,-490.00,-0.006,836.00,277.00,0.10,0.00,-1548.00,-0.00
0.071,-5.00,-482.00,-0.008,836.00,271.00,0.10,0.00,-1546.00,-0.00
0.072,-5.00,-466.00,-0.008,836.00,271.00,0.10,0.00,-1544.00,-0.00
0.073,-5.00,-452.00,-0.006,836.00,273.00,0.10,0.00,-1541.00,-0.00
0.074,-5.00,-434.00,-0.001,836.00,271.00,0.10,0.00,-1539.00,-0.00
0.075,-5.00,-422.00,-0.015,836.00,265.00,0.10,0.00,-1536.00,-0.00
0.076,-5.00,-398.00,0.002,836.00,265.00,0.10,0.00,-1533.00,-0.00
0.077,-5.00,-388.00,-0.005,836.00,267.00,0.10,0.00,-1530.00,-0.00
0.078,-5.00,-374.00,-0.008,836.00,271.00,0.10,0.00,-1528.00,-0.00
