%This file containts data collection taken by Trevor Stephens and Nathan Kong
%Used left spindle of tool number 5 Lot M10110805 915 with a 0.10 Hz Sine wave was implemented with and amplitude of 30.00 degrees, and a reaction torque of 10.00 percent torque
%idxPulse_0=0
%idxPulse_1=0
%idxPulse_2=0
%idxPulse_3=0
%torque0AverageTorque=315.12
%torque2ZeroLoad=0.00
%Back-end Time [ms], Back-end CUI Encoder [counts], Back-end Futek Torque [counts], Measured Current [Amps], Front-end Maxon Encoder [counts], Front-end Futek Torque [counts], Front-end Command [amps?], Back-end Command [-1:1], Back-end Maxon [counts], Trajectory Target [counts?]
0.000,1365.00,124.00,0.026,234.00,-223.00,0.10,-0.03,734.00,0.00
0.001,1365.00,124.00,0.036,234.00,-217.00,0.10,-0.03,734.00,0.00
0.002,1365.00,128.00,0.024,234.00,-221.00,0.10,-0.03,734.00,0.00
0.003,1365.00,124.00,0.042,234.00,-217.00,0.10,-0.03,734.00,0.00
0.004,1365.00,128.00,0.025,234.00,-213.00,0.10,-0.03,734.00,0.00
0.005,1365.00,128.00,0.033,234.00,-217.00,0.10,-0.03,734.00,0.00
0.006,1365.00,128.00,0.023,234.00,-209.00,0.10,-0.03,734.00,0.00
0.007,1365.00,128.00,0.034,234.00,-217.00,0.10,-0.03,735.00,0.00
0.008,1365.00,124.00,0.034,234.00,-215.00,0.10,-0.03,735.00,0.00
0.009,1365.00,130.00,0.032,234.00,-213.00,0.10,-0.03,735.00,0.00
0.010,1365.00,130.00,0.029,234.00,-215.00,0.10,-0.03,735.00,0.00
0.011,1365.00,128.00,0.024,234.00,-211.00,0.10,-0.03,735.00,0.00
0.012,1365.00,130.00,0.034,234.00,-213.00,0.10,-0.03,735.00,0.00
0.013,1365.00,128.00,0.030,234.00,-219.00,0.10,-0.03,735.00,0.00
0.014,1365.00,134.00,0.037,234.00,-213.00,0.10,-0.03,736.00,0.00
0.015,1365.00,130.00,0.029,234.00,-213.00,0.10,-0.03,736.00,0.00
0.016,1365.00,130.00,0.036,234.00,-209.00,0.10,-0.03,736.00,0.00
0.017,1365.00,132.00,0.027,234.00,-217.00,0.10,-0.03,736.00,0.00
0.018,1365.00,132.00,0.036,234.00,-213.00,0.10,-0.03,736.00,0.00
0.019,1365.00,132.00,0.028,234.00,-211.00,0.10,-0.03,736.00,0.00
0.020,1365.00,132.00,0.031,234.00,-217.00,0.10,-0.03,736.00,0.00
0.021,1365.00,132.00,0.033,234.00,-211.00,0.10,-0.03,736.00,0.00
0.022,1365.00,130.00,0.039,234.00,-217.00,0.10,-0.03,736.00,0.00
0.023,1365.00,130.00,0.027,234.00,-153.00,0.10,-0.03,736.00,0.00
0.024,1365.00,128.00,0.036,234.00,-213.00,0.10,-0.03,736.00,0.00
0.025,1365.00,130.00,0.028,234.00,-217.00,0.10,-0.03,736.00,0.00
0.026,1365.00,130.00,0.029,234.00,-217.00,0.10,-0.03,736.00,0.00
0.027,1365.00,134.00,0.029,234.00,-209.00,0.10,-0.03,736.00,0.00
0.028,1365.00,132.00,0.035,234.00,-213.00,0.10,-0.03,736.00,0.00
0.029,1365.00,134.00,0.028,234.00,-209.00,0.10,-0.03,736.00,0.00
0.030,1365.00,134.00,0.035,234.00,-213.00,0.10,-0.03,736.00,0.00
0.031,1365.00,130.00,0.030,234.00,-209.00,0.10,-0.03,736.00,0.00
0.032,1365.00,128.00,0.030,234.00,-213.00,0.10,-0.03,736.00,0.00
0.033,1365.00,132.00,0.026,234.00,-217.00,0.10,-0.03,736.00,0.00
0.034,1365.00,132.00,0.034,234.00,-213.00,0.10,-0.03,736.00,0.00
0.035,1365.00,134.00,0.027,234.00,-217.00,0.10,-0.03,736.00,0.00
0.036,1365.00,132.00,0.024,234.00,-215.00,0.10,-0.03,736.00,0.00
0.037,1365.00,134.00,0.042,234.00,-221.00,0.10,-0.03,736.00,0.00
0.038,1365.00,132.00,0.036,234.00,-219.00,0.10,-0.03,736.00,0.00
0.039,1365.00,128.00,0.024,234.00,-219.00,0.10,-0.03,736.00,0.00
0.040,1365.00,132.00,0.034,234.00,-219.00,0.10,-0.03,736.00,0.00
0.041,1365.00,134.00,0.028,234.00,-213.00,0.10,-0.03,736.00,0.00
0.042,1365.00,136.00,0.035,234.00,-213.00,0.10,-0.03,736.00,0.00
0.043,1365.00,134.00,0.030,234.00,-211.00,0.10,-0.03,736.00,0.00
0.044,1365.00,128.00,0.041,234.00,-203.00,0.10,-0.03,736.00,0.00
0.045,1365.00,136.00,0.021,234.00,-209.00,0.10,-0.03,736.00,0.00
0.046,1365.00,132.00,0.035,234.00,-211.00,0.10,-0.03,736.00,0.00
0.047,1365.00,132.00,0.029,234.00,-215.00,0.10,-0.03,736.00,0.00
0.048,1365.00,136.00,0.033,234.00,-213.00,0.10,-0.03,736.00,0.00
0.049,1365.00,134.00,0.030,234.00,-217.00,0.10,-0.03,736.00,0.00
0.050,1365.00,136.00,0.031,234.00,-217.00,0.10,-0.03,736.00,0.00
0.051,1365.00,132.00,0.027,234.00,-213.00,0.10,-0.03,736.00,0.00
0.052,1365.00,134.00,0.033,234.00,-215.00,0.10,-0.03,736.00,0.00
0.053,1365.00,136.00,0.033,234.00,-215.00,0.10,-0.03,736.00,0.00
0.054,1365.00,134.00,0.040,234.00,-215.00,0.10,-0.03,736.00,0.00
0.055,1365.00,134.00,0.024,234.00,-213.00,0.10,-0.03,736.00,0.00
0.056,1365.00,136.00,0.033,234.00,-213.00,0.10,-0.03,736.00,0.00
0.057,1365.00,132.00,0.022,234.00,-213.00,0.10,-0.03,736.00,0.00
0.058,1365.00,136.00,0.035,234.00,-209.00,0.10,-0.03,736.00,0.00
0.059,1365.00,132.00,0.031,234.00,-217.00,0.10,-0.03,736.00,0.00
0.060,1365.00,134.00,0.036,234.00,-213.00,0.10,-0.03,736.00,0.00
0.061,1365.00,132.00,0.028,234.00,-213.00,0.10,-0.03,736.00,0.00
0.062,1365.00,134.00,0.026,234.00,-213.00,0.10,-0.03,736.00,0.00
0.063,1365.00,132.00,0.033,234.00,-211.00,0.10,-0.03,736.00,0.00
0.064,1365.00,134.00,0.030,234.00,-213.00,0.10,-0.03,737.00,0.00
0.065,1365.00,132.00,0.033,234.00,-215.00,0.10,-0.03,737.00,0.00
0.066,1365.00,134.00,0.033,234.00,-211.00,0.10,-0.03,737.00,0.00
0.067,1365.00,130.00,0.036,234.00,-215.00,0.10,-0.03,737.00,0.00
0.068,1365.00,132.00,0.029,234.00,-217.00,0.10,-0.03,737.00,0.00
0.069,1365.00,136.00,0.037,234.00,-219.00,0.10,-0.03,737.00,0.00
0.070,1365.00,138.00,0.036,234.00,-219.00,0.10,-0.03,737.00,0.00
0.071,1365.00,136.00,0.037,234.00,-217.00,0.10,-0.03,737.00,0.00
0.072,1365.00,134.00,0.026,234.00,-221.00,0.10,-0.03,737.00,0.00
0.073,1365.00,136.00,0.038,234.00,-217.00,0.10,-0.03,737.00,0.00
0.074,1365.00,136.00,0.027,234.00,-213.00,0.10,-0.03,737.00,0.00
0.075,1365.00,132.00,0.035,234.00,-213.00,0.10,-0.03,737.00,0.00
0.076,1365.00,136.00,0.026,234.00,-209.00,0.10,-0.03,737.00,0.00
0.077,1365.00,136.00,0.035,234.00,-215.00,0.10,-0.03,737.00,0.00
0.078,1365.00,138.00,0.026,234.00,-207.00,0.10,-0.03,737.00,0.00
0.079,1365.00,140.00,0.045,234.00,-207.00,0.10,-0.03,737.00,0.00
0.080,1365.00,138.00,0.029,234.00,-207.00,0.10,-0.03,737.00,0.00
0.081,1365.00,138.00,0.038,234.00,-207.00,0.10,-0.03,737.00,0.00
0.082,1365.00,136.00,0.027,234.00,-209.00,0.10,-0.03,737.00,0.00
0.083,1365.00,136.00,0.036,234.00,-209.00,0.10,-0.03,737.00,0.00
0.084,1365.00,134.00,0.023,234.00,-211.00,0.10,-0.03,737.00,0.00
0.085,1365.00,136.00,0.035,234.00,-213.00,0.10,-0.03,737.00,0.00
0.086,1365.00,140.00,0.029,234.00,-211.00,0.10,-0.03,737.00,0.00
0.087,1365.00,136.00,0.027,234.00,-217.00,0.10,-0.03,737.00,0.00
0.088,1365.00,138.00,0.030,234.00,-215.00,0.10,-0.03,737.00,0.00
0.089,1365.00,138.00,0.026,234.00,-215.00,0.10,-0.03,737.00,0.00
0.090,1365.00,140.00,0.032,234.00,-211.00,0.10,-0.03,737.00,0.00
0.091,1365.00,140.00,0.026,234.00,-211.00,0.10,-0.03,737.00,0.00
0.092,1365.00,136.00,0.035,234.00,-215.00,0.10,-0.03,737.00,0.00
0.093,1365.00,140.00,0.033,234.00,-215.00,0.10,-0.03,738.00,0.00
0.094,1365.00,140.00,0.035,234.00,-217.00,0.10,-0.03,738.00,0.00
0.095,1365.00,140.00,0.034,234.00,-211.00,0.10,-0.03,738.00,0.00
0.096,1365.00,140.00,0.040,234.00,-209.00,0.10,-0.03,738.00,0.00
0.097,1365.00,138.00,0.026,234.00,-207.00,0.10,-0.03,738.00,0.00
0.098,1365.00,138.00,0.034,234.00,-205.00,0.10,-0.03,738.00,0.00
0.099,1365.00,142.00,0.028,234.00,-209.00,0.10,-0.03,738.00,0.00
